Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Decade,Movie_continent,Grouped_genres,plot_summary
30405742,/m/0g5qgd2,Plug & Pray,2010.0,,91.0,"['Japanese Language', 'Italian Language', 'German Language', 'English Language']",['Germany'],"['Science Fiction', 'World cinema', 'Documentary']",2010.0,Europe,"['Science Fiction', 'World', 'Documentary']","Computer experts around the world strive towards the development of intelligent robots. Pioneers like Raymond Kurzweil and Hiroshi Ishiguro dream of fashioning intelligent machines that will equal their human creators. In this potential reality, man and machine merge as a single unity. Rejecting evolution's biological shackles tantalisingly dangles the promise of eternal life for those bold enough to seize it. But others, like Joseph Weizenbaum, counter attack against society's limitless faith in the redemptive powers of technology. Eloquent and tactful, he questions the prevailing discourses on new technologies, and their ethical relationships to human life. The film delves into a world where computer technology, robotics, biology, neuroscience, and developmental psychology merge and features the world’s leading roboticists in their laboratories in Japan, the USA, Italy and Germany."
165106,/m/015_1c,Desk Set,1957.0,1700000.0,103.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Libraries and librarians', 'Workplace Comedy', 'Comedy']",1950.0,North America,"['Libraries and librarians', 'Comedy', 'Romance']","Desk Set takes place at the ""Federal Broadcasting Network"" . Bunny Watson  is in charge of its reference library, which is responsible for researching and answering questions on all manner of topics, such as the names of Santa's reindeer. She has been involved for seven years with rising network executive Mike Cutler , with no marriage in sight. The network is negotiating a merger with another company, but is keeping it secret. To help the employees cope with the extra work that will result, the network head has ordered two computers . Richard Sumner , the inventor of EMERAC  and an efficiency expert, is brought in to see how the library functions, to figure out how to ease the transition. Though extremely bright, as he gets to know Bunny, he is surprised to discover that she is every bit his match. When they find out the computers are coming, the employees jump to the conclusion the machines are going to replace them, whereas they are merely intended to help ease the research. Their fears seem to be confirmed when everyone on the staff receives a pink slip printed out by the new payroll computer. Fortunately, it turns out to be a mistake; the machine fired everybody in the company, including the president."
34356357,/m/0h_bl8q,Bharathan Effect,2007.0,,,['Malayalam Language'],['India'],"['Science Fiction', 'Comedy film']",2000.0,Asia,"['Science Fiction', 'Comedy']","Bharathan is a post-graduate and unemployed. Somehow he manages to get the job of a Malayalam teacher at a tuition centre. His wife Geetha works in a consumer store. The couple stays in a rented house owned by Kariyachan. Bharathan is a genius inventor and has a rather inquisitive mind especially as far as scientific matters are concerned. He is always around inventions with little care on what happens around him. He never sticks to any particular job, which lands his family in deep financial troubles. His wife Geetha is upset about all this, but little could she do to avoid her husband from becoming the laughing stock of many who don't understand him. Some people like Kariachan  cleverly usurp the patent rights of some of Bharathan's crude inventions. The few people who come with helping hands are Thankachan, one of his students in the tuition centre and Peter, who goes around finding him new jobs. In the meantime Bharathan invents a gadget that could be used to clean and sweep the courtyard and also to pluck coconuts and fruits from palms and trees. One day, on the way to take classes, Bharathan notices a paper rocket-flown by some children-staying midair for an unusually long period of time. This and a few other experiences lead him to a very spectacular discovery relating to gravity. But people around him brand him a lunatic and that leads to many problems in his life. But Bharathan does discover the reason behind the phenomenon is antigravity and claims that he can make flying objects that can be used by man to reach any destination without any fuel, and he suddenly gets famous. But due to over concentration, Bharathan loses his memory about the project. The government brings a psychiatrist to cure him. He finds that with some seemingly fatal interventions, Bharathan could be cured and he could make anti gravity to a workable."
1446852,/m/0528fs,More,1998.0,,6.0,[],['United States of America'],"['Stop motion', 'Short Film', 'Science Fiction', 'Animation']",1990.0,North America,"['Science Fiction', 'Stop motion', 'Short Film', 'Animation']","More tells the story of an inventor who lives in a drab, colorless world. Day by day, he toils away in a harsh, dull, and dehumanizing job, his only savior being the memories of the bliss of childhood. But at night, he works secretly on an invention that could help him relive those memories and spread their joy to everyone in his despair-filled life. When he finishes the invention, it changes the way people look at the world. His success changes him, however, because he loses an important part of himself."
15033858,/m/03h5crb,Sleep Dealer,2008.0,,90.0,"['English Language', 'Spanish Language']","['United States of America', 'Mexico']","['Science Fiction', 'Drama', 'Indie', 'World cinema']",2000.0,North America,"['Indie', 'Science Fiction', 'World', 'Drama']","'Sleep Dealer' is set in a future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, where three strangers risk their lives to connect with each other and break the barriers of technology. Memo Cruz , works at a factory, one of several sleep dealers. Here, workers are connected to the network via suspended cables connected to implanted nodes in their arms and back, allowing them to control the robots that have replaced them as unskilled labor on the other side of the border. The sleep dealers are called so because one may collapse if one works long enough. The story is told as a flash back, as Memo remembers his home in Santa Ana Del Rio, Oaxaca. His father wants him to participate in growing crops on the meagre family homestead. Memo's passion however is electronics and hacking. The homestead also has dried up on account of a dam built nearby and owned by the private corporation Del Rio Water. Memo and his father must trek on foot to buy water by the bag, while monitored by security cameras armed with machine guns. The media on American hi-def TV shows glimpses of a technological dystopia, although in a positive light with superficial spin-doctoring. As a hobby, Memo is building an electronic receiver that can tap into communications. As he continues to work on it, its range increases to far away cities. One summer, a remote-controlled military aerial vehicle operated by the security forces of Del Rio Water catches him monitoring a frequency used by the drones, an act that warrants a brutal attack. He disconnects in time before the drone can locate him with certainty. On another occasion, he and his brother watch a live TV broadcast about a drone action that is about to destroy a building known to be intercepting drone communication. They quickly realize that the building is their own home where Memo has his equipment, and run to save their father whose life is in danger. However, they are too late, and the vehicle launches a rocket at the father, who had miraculously escaped a first attack on the building, instantly killing him. The pilot of the drone is shown to be Rudy Ramirez . Memo boards a bus to the city Tijuana to find work. The same bus is also boarded by Luz Martínez . Memo notices that Luz has nodes on the wrist for interfacing with the digital network, and asks her where he can get them for free. She tells him that he can find someone, known as a coyotek, to connect him by asking around in a certain alley. Luz has loans and may default. She makes a living by uploading memories to an online memory trading company 'True node' where viewers pay for content. She uploads her memory of meeting Memo. Memo is robbed of his money during his first attempt to seek a coyotek. He finds an abandoned shack to stay at the edge of the city, where other node workers live. Luz gets a sale for her memory of Memo, and a prepaid offer for her next memory of him. Luz finds him and comes to know he is out of money. She helps him get a node-job at a bar, which has the equipment. It so happens that she is the coyotek, having learned from her ex-boyfriend and she does him a favor. Luz tries to upload more experiences. Truenode makes her reveal feelings rather than just the story. The person who requested the information is revealed to be Ramirez working for Del Rio Water. Luz and Memo open up to each other and have a connected sex. Upon receiving the next upload, Ramirez has his doubts confirmed that his work made him kill a good man, though his family disparages his concerns. Memo discovers that Luz has been paid to upload her memories of him, and so he leaves her feeling betrayed. He works over-time at the sleep-dealer, risking exhaustion. Luz writes to him and mails him a recording of her memories as a parting gift. In the meantime, Ramirez has crossed the fortified US-Mexican border to meet Memo. As Ramirez explains himself, Memo tries to run perceiving danger. Ramirez catches up and explains he was under orders and offers to help. Memo rejoins Luz and recruits her help to connect Ramirez into the network. He accesses the Del Rio Water security network to control one of the company's drones. Upon discovery that Ramirez is not heeding orders, Ramirez is pursued by other drones. After heated aerial dogfighting, Ramirez manages to blast a hole in the dam, directly where Memo's father had once tossed a pebble in helpless frustration. Memo receives news from his home and neighboring subsistence farms, celebrations of the return of ancestral waters, albeit not necessarily permanent. Ramirez goes further south in Mexico as he is no longer able to return to his family in the US. Memo moves on with his life in Tijuana."
26364940,/m/0bbx9xn,Trapped by Television,1936.0,,62.0,['English Language'],['United States of America'],"['Drama', 'Science Fiction', 'Screwball comedy', 'Comedy-drama', 'Romance Film']",1930.0,North America,"['Science Fiction', 'Comedy', 'Drama', 'Romance']","An inventor is working on his latest creation, a new form of television monitor and camera, but is struggling to complete his invention due to lack of funds. His monetary problems are compounded by an aggressive bill collector looking for payments and competition from a rival scientist. When organized crime figures are added to the mix, the desperation level rises for our intrepid inventor."
21689589,/m/05mzmkb,Us Now,2009.0,,59.0,['English Language'],['United Kingdom'],"['Drama', 'Documentary']",2000.0,Europe,"['Drama', 'Documentary']","The Us Now website describes the project as an examination of the role of the internet, and more specifically Web 2.0 in facilitating direct public governance without the need for politicians. The film tells the stories of the online mass collaboration projects such as Mumsnet, CouchSurfing, Slice the Pie and My Football Club whose self-organising structures may ""threaten to change the fabric of government.""{{Cite web}}"
35131540,/m/0j64rfm,Bioscope,2008.0,,94.0,['Malayalam Language'],['India'],['Drama'],2000.0,Asia,['Drama'],"Bioscope, set in the early years of the twentieth century, is a story of history entering the paths of memories and dreams. The story of villagers, made mute by colonialism and slavery, entering the garden of a new vision through a new machine, bioscope. The protagonist Diwakaran’s new journey starts with his acquisition of a bioscope. The Frenchman DuPont, who does bioscope shows on the coasts of Tamil Nadu, is the architect of his new journey. Diwakaran was stunned by early forms of cinema images. His relationship with DuPont and the bioscope start with his astonishment when he first saw moving images. It turns into a story of inseparable friendship. Divakaran purchases the machine from DuPont and intends to entertain his village folks with his films, but ultimately falls prey to superstitions and suspicions about the instrument."
31644556,/m/091m5df,Television Spy,1939.0,,58.0,['English Language'],['United States of America'],"['Action', 'Spy']",1930.0,North America,"['Action/Adventure', 'Spy']","A scientist invents a television called the Iconoscope, which thieves try to steal. Ironically, the term iconoscope was used in real life for certain television vacuum tubes."
7037167,/m/0h1fzy,Algol,1920.0,,99.0,['German Language'],['Germany'],"['Silent film', 'Fantasy', 'Science Fiction', 'Black-and-white']",1920.0,Europe,"['Science Fiction', 'Black-and-white', 'Fantasy', 'Silent film']"," The story follows the life of Robert Herne, who works in a coal mine, and his friendship with Maria Obal. While working in the mine, he encounters an inhabitant of the planet Algol who gives him a prototype machine which can provide a virtually unlimited source of power. Over the next year Herne sets up a factory providing energy; however, instead of simply relieving workers of the difficult job of mining, the device creates massive economic upheaval throughout the world. Over the next 20 years, Herne continues to increase his power and influence, but he has lost touch with Maria who now lives in the one part of the world to which his influence does not extend. The film follows the machinations of Herne’s son Reginald and his &ndash; ultimately unsuccessful &ndash; attempt at a coup, aiming to seize the secrets of the machine for himself. Meanwhile, Maria has had a son who travels to meet Herne to ask for his assistance: his country's coal reserves have expired. Herne initially refuses assistance; Maria visits him to ask in person. He comes to realise the extent to which he has been corrupted by power. In a moment of realisation, Herne destroys the machine, thereby preventing his son from taking control after his death."
