Unnamed: 0.1,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Decade,Movie_continent,Grouped_genres,Plot_summary,level_0,vietnam,cold_war,irak_war,ww2,technology,economy,health,gender_equality,migration,year
53,112,2154704,/m/06qv1c,Choke Canyon,1986.0,,94.0,['English Language'],['United States of America'],"['Thriller', 'Action Thrillers', 'Science Fiction', 'Adventure']",1980.0,North America,"['Thriller', 'Action/Adventure', 'Science Fiction']",Dr David Lowells research carried canyon country southern Utah must conducted time Halleys Comet passing earth corporation trying find remote place illegally dump nuclear waste throws land destroys laboratory spends rest film committing ecotage company trying recover land,38228.0,0.16774279,0.15911801,0.023288682,0.17030184,1,0.15052715,0.12598224,0.036472797,0.13002048,1986.0
87,183,19569910,/m/04n2zzq,Time of Eve,2010.0,,106.0,['Japanese Language'],['Japan'],"['Science Fiction', 'Anime', 'Japanese Movies']",2010.0,Asia,"['Japanese Movies', 'Science Fiction', 'Animation']",nottoodistant future androids come common usage Rikuo Sakisaka taken robots granted entire life one day discovers Sammy home android acting independently coming going finds strange phrase recorded activity log enjoying Time Eve along friend Masakazu Masaki traces Sammys movements finds unusual cafe Time Eve Nagi barista informs cafes main rule discriminate humans androids Within cafe androids display status rings patrons depart door automatically locked two minutes prevent someone following discover true nature first episodes involve conversations Rikuo cafe regulars bubbly Akiko child Chie elderly guardian lovers Koji Rina others conversations make frequent allusion Isaac Asimovs Three Laws Robotics often highlighting surprising interpretations laws form apparent loopholes overarching plot involves beginnings independence displayed androids independence within bounds three laws motivates Secondary plots involve individual stories android protagonists encounter cafe come discover patrons androids,36704.0,0.025960613,0.07577008,0.09448423,0.06830757,1,0.1490445,0.15401188,0.11882382,0.073685035,2010.0
111,229,30405742,/m/0g5qgd2,Plug & Pray,2010.0,,91.0,"['Japanese Language', 'Italian Language', 'German Language', 'English Language']",['Germany'],"['Science Fiction', 'World cinema', 'Documentary']",2010.0,Europe,"['Documentary', 'Science Fiction', 'World']",Computer experts around world strive towards development intelligent robots Pioneers like Raymond Kurzweil Hiroshi Ishiguro dream fashioning intelligent machines equal human creators potential reality man machine merge single unity Rejecting evolutions biological shackles tantalisingly dangles promise eternal life bold enough seize others like Joseph Weizenbaum counter attack societys limitless faith redemptive powers technology Eloquent tactful questions prevailing discourses new technologies ethical relationships human life film delves world computer technology robotics biology neuroscience developmental psychology merge features world’s leading roboticists laboratories Japan USA Italy Germany,151.0,0.056116115,0.13268954,0.1730172,0.12909944,1,0.11209126,0.13613696,0.17737249,0.11508009,2010.0
199,401,30624204,/m/0g9yq64,Salvage with a Smile,1940.0,,,['English Language'],['United Kingdom'],"['Short Film', 'War film']",1940.0,Europe,"['Short Film', 'War']",educational film aims help people back home save paper bones metal war effortSalvage Smile YouTubeSalvage Smile YouTube,9021.0,0.15411222,0.08768819,0.098305106,0.25474542,1,0.19329798,0.2566136,0.12143046,0.12853009,1940.0
1908,3657,21697982,/m/05msx38,Fight for the Planet,2009.0,,56.0,['English Language'],['Canada'],['Documentary'],2000.0,North America,['Documentary'],Fight Planet documentary geological social economical impacts global warming film stresses need change politics also behavior investigates science behind climate change technologies bring us new green future Among interviewed include politicians Stéphane Dion Jack Layton professors journalists field experts green technology companies,5110.0,0.12408762,0.15633741,0.039732136,0.1614233,1,0.18671611,0.08115802,0.102757394,0.07757917,2009.0
3068,5913,16964329,/m/0413kxr,Video Clip,2007.0,,78.0,['Thai Language'],['Thailand'],"['Thriller', 'Horror']",2000.0,Asia,"['Thriller', 'Horror']",Mobile phones today come host novel features entertain users dark side hides amid use film features group people obsessed mobile phone video recording Ken mobile phone repair man steals private video clips customers’ phones Pub DJ Aud likes fun girls records adventures phone share others Gaeng pub owner creates porn website featuring mobile phone video clips However none characters realise mobile phone habit become threat lives,35853.0,0.08424599,0.022524599,0.11878182,0.08032493,1,0.1521931,0.19988602,0.13716036,0.013658084,2007.0
3210,6191,25210308,/m/09gpxd5,Into Eternity,2010.0,,75.0,['English Language'],"['Finland', 'Denmark', 'Sweden']","['Political cinema', 'Culture & Society', 'World cinema', 'Documentary']",2010.0,Europe,"['Documentary', 'Culture & Society', 'World', 'Political']",film explores question preparing site disturbed 100000 years even though structure human history stayed standing long period time Every day world large amounts highlevel radioactive waste created nuclear power plants placed interim storage vulnerable natural disasters manmade disasters societal changes Finland world’s first permanent repository hewn solid rock – huge system underground tunnels – must last entire period waste remains hazardous 100000 years repository waste deposited full facility sealed never opened hope ensure possible warn descendants deadly waste left behind prevent thinking found Giza pyramids time mystical burial grounds hidden treasures languages signs understand understand respect instructions Experts ground strive find solutions crucially important radioactive waste issue secure mankind species planet Earth near distant future,6664.0,0.14347325,0.21085668,0.105297595,0.26307166,1,0.10598026,0.18438075,0.086232014,0.18278821,2010.0
4931,9496,1446852,/m/0528fs,More,1998.0,,6.0,[],['United States of America'],"['Stop motion', 'Short Film', 'Science Fiction', 'Animation']",1990.0,North America,"['Short Film', 'Stop motion', 'Science Fiction', 'Animation']",tells story inventor lives drab colorless world Day day toils away harsh dull dehumanizing job savior memories bliss childhood night works secretly invention could help relive memories spread joy everyone despairfilled life finishes invention changes way people look world success changes however loses important part,33053.0,0.12578413,0.09749046,0.12719211,0.21873803,1,0.19730377,0.24461396,0.1033278,0.093636595,1998.0
5962,11559,3850284,/m/0b36wn,The Guinea Pig,1948.0,,97.0,['English Language'],['United Kingdom'],['Drama'],1940.0,Europe,['Drama'],guinea pig 14yearold Jack Read tobacconists son given scholarship exclusive public school school used film Sherborne School Dorset changes wrought World War II could scenario imagined course Reads uncouth behaviour causes difficulties fitting school film controversial contains first screen use word arse,16469.0,0.2936254,0.15444624,0.14303496,0.28457204,1,0.20143247,0.2716098,0.18670249,0.13851386,1948.0
6445,12481,6938531,/m/0gx_5g,Pale Cocoon,2006.0,,23.0,['Japanese Language'],['Japan'],"['Short Film', 'Science Fiction', 'Animation']",2000.0,Asia,"['Short Film', 'Science Fiction', 'Animation']",many years since group humans retreated artificial colony planet surface colorful world used exist ruined pollution possible war making uninhabitable Much recorded history move forgotten despite numerous advances technology last remaining information lies vast archive data much corrupted formats Determined recover precious information Archive Excavation Department works specifically restore much possible Long ago Department used excited full energy people know knowledge lost past bring sadness Ura particularly motivated member department works long hours recover history Riko lost passion desire know one day Ura comes upon record decoded completely changes way sees world,21466.0,0.19176865,0.22666895,0.12102329,0.23296508,1,0.1432312,0.20624085,0.17349517,0.2697401,2006.0
