Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Decade,Movie_continent,Grouped_genres
12085775,/m/02vpck6,Eastern Condors,1987.0,,100.0,"['Vietnamese Language', 'Standard Cantonese', 'English Language', 'Standard Mandarin', 'Cantonese']",['Hong Kong'],"['World cinema', 'Action/Adventure', 'Martial Arts Film', 'War film', 'Action', 'Chinese Movies']",1980.0,Asia,"['Action/Adventure', 'Chinese Movies', 'War', 'Martial Arts Film', 'World']"
26953458,/m/0bs3f54,21 and a Wake-Up,,,,[],['United States of America'],"['Drama', 'War film']",,North America,"['Drama', 'War']"
1898832,/m/064q5v,Why We Fight,2005.0,,98.0,['English Language'],"['United States of America', 'France', 'Canada', 'United Kingdom']","['Culture & Society', 'Private military company', 'Indie', 'War film', 'Political cinema', 'Social issues', 'Documentary']",2000.0,North America,"['Private military company', 'Political', 'Culture & Society', 'Documentary', 'Indie', 'War', 'Social']"
1011468,/m/03z106,We Were Soldiers,2002.0,114660784.0,140.0,"['French Language', 'Vietnamese Language', 'English Language']","['United States of America', 'Germany']","['History', 'Action/Adventure', 'Drama', 'War film', 'Action', 'Combat Films']",2000.0,North America,"['Action/Adventure', 'Combat Films', 'Drama', 'War', 'Historical']"
9846378,/m/02ptqwf,The Rebel,2007.0,,103.0,"['French Language', 'Vietnamese Language']",['Vietnam'],"['Action/Adventure', 'Action', 'Martial Arts Film', 'World cinema']",2000.0,Asia,"['Action/Adventure', 'World', 'Martial Arts Film']"
31441972,/m/0gkz943,Dust of Life,2009.0,,90.0,['Vietnamese Language'],[],['Drama'],2000.0,Unknown,['Drama']
22442724,/m/05zpkqr,The Visitors,1972.0,,88.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Drama']",1970.0,North America,"['Drama', 'Thriller', 'Fiction']"
103011,/m/0p_qr,Coming Home,1978.0,32653905.0,126.0,['English Language'],['United States of America'],"['Drama', 'War film', 'Romantic drama', 'Romance Film', 'Political drama', 'New Hollywood']",1970.0,North America,"['Political', 'Drama', 'New Hollywood', 'War', 'Romance']"
4620459,/m/0cc_y2,"The Boys in Company ""C""",1978.0,,126.0,['English Language'],"['United States of America', 'Hong Kong']","['Drama', 'Chinese Movies', 'War film']",1970.0,North America,"['Chinese Movies', 'Drama', 'War']"
28344566,/m/0cn_39c,How Sleep the Brave,1984.0,,90.0,['English Language'],['United Kingdom'],"['Action', 'Drama', 'War film']",1980.0,Europe,"['Action/Adventure', 'Drama', 'War']"
28077528,/m/0cmbhps,"Hail, Hero!",1969.0,,,['English Language'],['United States of America'],['Drama'],1960.0,North America,['Drama']
1338461,/m/04txpl,Birdy,1984.0,1455045.0,120.0,['English Language'],['United States of America'],"['Drama', 'Period piece', 'Film adaptation', 'Coming of age', 'War film']",1980.0,North America,"['Coming-of-age', 'Period', 'Film adaptation', 'Drama', 'War']"
29206378,/m/0dlnrdb,Going Back,2001.0,,118.0,[],"['United States of America', 'Canada']","['Action/Adventure', 'Action', 'Drama', 'War film']",2000.0,North America,"['Action/Adventure', 'Drama', 'War']"
724449,/m/05pdb8v,Brotherhood of Death,1976.0,,90.0,['English Language'],['United States of America'],"['Thriller', 'Blaxploitation', 'Action', 'Drama']",1970.0,North America,"['Action/Adventure', 'Blaxploitation', 'Thriller', 'Drama']"
26084240,/m/0b6nh1j,Brushfire,1962.0,,80.0,['English Language'],['United States of America'],"['Drama', 'Adventure']",1960.0,North America,"['Action/Adventure', 'Drama']"
5999816,/m/0fjyzt,The Quiet American,2002.0,12988801.0,118.0,"['French Language', 'Vietnamese Language', 'English Language']","['United States of America', 'France', 'Australia', 'United Kingdom', 'Germany']","['Thriller', 'Crime Fiction', 'Film adaptation', 'War film', 'Period piece', 'Drama', 'Political thriller', 'Romantic drama', 'Romance Film', 'Political drama']",2000.0,North America,"['Political', 'Period', 'Thriller', 'Film adaptation', 'Drama', 'Fiction', 'War', 'Romance']"
2691895,/m/07y8xh,R-Point,2004.0,6744984.0,111.0,['Korean Language'],['South Korea'],"['Horror', 'World cinema', 'Creature Film', 'Action/Adventure', 'War film', 'Action']",2000.0,Asia,"['Action/Adventure', 'Horror', 'War', 'World', 'Creature Film']"
