Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Decade,Movie_continent,Grouped_genres,plot_summary
12167045,/m/02vs2hv,Fun Down There,1989.0,,89.0,['English Language'],['United States of America'],"['LGBT', 'Indie', 'Comedy-drama', 'Gay', 'Gay Interest', 'Drama', 'Comedy', 'Gay Themed', 'Romance Film']",1980.0,North America,"['Drama', 'Indie', 'Gay', 'Comedy', 'Romance', 'LGBT']","Buddy, a young gay man leaves his small-town home in rural Upstate New York to make a new life in New York City."
31521717,/m/0glt3wc,Miyar House,,,76.0,['Kannada Language'],['India'],"['Historical Documentaries', 'Family Film', 'Documentary']",,Asia,"['Family', 'Documentary', 'Historical']"," The filmmaker’s 200 year old ancestral house is dismantled, giving him an opportunity to undertake a journey into a past. It is a past that he shares not only with his extended family, but also with successive generations of India’s rural population. Armed with a cranky digital camera, he and his friend Ajay Raina sets out to document the dismantling process. They meet the four owners of the house – the uncles and aunt of the filmmaker - and gather from them what it means to undergo the process of change and migration. A sense of nostalgia and loss; as well as the excitement and the insecurity of the future accompany this process; the essence of which is transition. A realization of the inevitability of this transition marks this journey. It could well have been the journey of a country that has propelled itself into modernity. As plans are on for the house to get reconstructed elsewhere in an open air museum, out of its original context – for the filmmaker, the fossilization seems to be complete. The film ends with the tile that says that the filmmaker's father has expired in Mumbai in 2010."
20953257,/m/05b1yt5,Kangaroo,1987.0,,100.0,['English Language'],['Australia'],['Drama'],1980.0,Oceania,['Drama'],"In 1922, an English writer  migrates to Australia with his wife . There he resists joining both a paramilitary group and a socialist group, is caught in a riot, sees a death and loses love and friendship."
35013163,/m/0j63t34,Semillas que el mar arrastra,2008.0,,52.0,[],"['Spain', 'Senegal', 'Cameroon']",['Documentary'],2000.0,Europe,['Documentary'],"In Africa there are many children that dream of crossing the sea, leaving their families and homes behind, believing that they'll have a real chance on the other side. Those that manage to make the crossing soon discover that reality is far from what they had imagined when they find themselves in the internment centers. This documentary lends its voice to those under age immigrants that long for a better life."
35647254,/m/0jkwz1w,Alyah,2012.0,,90.0,['French Language'],['France'],['Drama'],2010.0,Europe,['Drama'],"Alex, a 27-year-old Jewish drug dealer who lives in Paris, plans to do his Aliyah and move to Israel for the chance of a better life. Alex's desire to move to Israel is not so much grown out of Zionism, but because nothing holds him back in France, in spite of his recent encounter with a gentile girl, Jeanne."
26800344,/m/0bmc0l8,Crimes of the Past,2010.0,,91.0,[],['United States of America'],"['Thriller', 'Drama', 'Indie']",2010.0,North America,"['Indie', 'Drama', 'Thriller']","Retired CIA Agent Thomas Sparrow  retires and returns home to Seattle to try to reconnect with his long-lost daughter , but a former colleague  complicates things by coming back into Sparrow's life."
4589710,/m/0cbdx9,Monstrosity,1964.0,,67.0,['English Language'],['United States of America'],"['Science Fiction', 'Horror', 'Indie', 'Black-and-white']",1960.0,North America,"['Indie', 'Science Fiction', 'Horror', 'Black-and-white']","An elderly woman uses her vast fortune to convince an eccentric yet brilliant scientist to transplant her brain into a new, youthful body. The bodies are provided by three immigrant young women who are hired to be servants. The old woman then chooses which of the girls she finds most beautiful, and sets about replacing the young woman's brain with her own."
35002906,/m/0j66mvv,Bab Sebta,2008.0,,108.0,['Portuguese Language'],"['Morocco', 'Portugal']",['Documentary'],2000.0,Africa,['Documentary'],"Beginning with the 2005 violence at the Melilla and Ceuta border fences, Bab Sebta interviews people in four North African cities to explore why some people are willing to risk all to emigrate to Europe. Interviews took place in Tangier and Oujda in Morocco, and Nouadhibou and Nouakchott in Mauritania.{{cite web}}"
35179609,/m/0j671bq,Aicha è tornata,2011.0,,34.0,"['French Language', 'Arabic Language', 'Italian Language']",['Italy'],"['Short Film', 'Documentary']",2010.0,Europe,"['Documentary', 'Short Film']","“I’ve come back… I miss my friends, the air in Italy… Here it’s like a prison.” The short sentences of the prologue summarize all the suffering of six migrants who have returned home to the provinces of Khouribga, Beni Mellal and Fkih Ben Salah, the so-called “Triangle of Death”, the main area of emigration from Morocco to South Europe. Often forced to return against their will, they experience the humiliation and frustration of returning to poverty, they are reabsorbed by their families and regret the freedom they won in Europe as women.{{RefFCAAAL}}"
29644482,/m/0fphhv1,The Albanian,2010.0,,105.0,"['Albanian language', 'German Language']","['Albania', 'Germany']","['Crime Fiction', 'Drama', 'Coming of age', 'Political drama', 'World cinema']",2010.0,Europe,"['Political', 'Coming-of-age', 'Drama', 'Fiction', 'World']","For the sake of love and the situations imposed by the life in his country, Arben emigrates to Germany. An illegal emigration, in search of money, a subtle condition to protect his love; an adventure that unintentionally confronts him with the unmerciful world of crimeGazeta Albania - Filmi ""Shqiptari"" pushton Festivalin e Gjenevës  | November 9, 2010."
